trend_period,entry_window,exit_window,total_return,sharpe_ratio,max_drawdown,win_rate,avg_win,avg_loss,num_trades
200,15,15,0.15216070722079295,1.9984971506921887,-0.08445304315461899,0.8035714285714286,0.0071132293128195094,-0.01587302623048936,56
200,20,15,0.13657781312129283,1.9896002320597954,-0.058904993372316694,0.7906976744186046,0.007388068340731152,-0.013378148696926221,43
150,30,15,0.0989318646227117,1.9518409017258278,-0.039989486739840596,0.8,0.007160099582024869,-0.012596173786876047,30
100,30,10,0.0741002502987818,1.885579301284744,-0.03998948673984104,0.8,0.006394915324873677,-0.007477239933451562,20
200,20,30,0.16606902836745285,1.8807550709072383,-0.08471517656667737,0.7692307692307693,0.011638427323735464,-0.021156510610268152,39
100,25,20,0.11103119550415395,1.853744131452487,-0.03998948673984104,0.7857142857142857,0.0080182507496206,-0.011558652818399814,28
100,25,15,0.09573059207566875,1.8405712866173642,-0.039989486739841484,0.7857142857142857,0.007003826172264377,-0.010183122118729628,28
200,30,15,0.09435140481164307,1.7221228388021095,-0.05648879367019066,0.7878787878787878,0.0074260239157697226,-0.014364313496100562,33
200,15,30,0.15307012979887166,1.7209627642151668,-0.1283442415851045,0.7551020408163265,0.01082974830028961,-0.02103245140730931,49
200,25,15,0.0981168239064651,1.6540804182442028,-0.05425751728936912,0.7837837837837838,0.007070054485842064,-0.013634583241923865,37
200,20,20,0.12868908160967912,1.652497735624947,-0.08371254754396407,0.7619047619047619,0.008584188917138406,-0.015040712714533385,42
100,30,30,0.09197103515097951,1.6403405345126396,-0.057626514431662224,0.8,0.010780085782776843,-0.020548503993050724,20
100,10,15,0.12144536561987389,1.6212641386091569,-0.06926529234402556,0.7704918032786885,0.0063747982230621825,-0.012971143926021432,61
150,30,10,0.07609724864245254,1.6200265300863421,-0.03998948673984104,0.7333333333333333,0.006112324371044897,-0.007474935365296167,30
100,25,10,0.07701253610708045,1.6053491530971886,-0.03998948673984115,0.7142857142857143,0.006011457682915021,-0.005626053877683374,28
200,10,20,0.13724037939099418,1.6036058372749844,-0.12618328091090147,0.765625,0.007928135014178285,-0.01698174362513327,64
150,20,15,0.09664211891308187,1.577290432921082,-0.04012102287012409,0.775,0.006946040136420535,-0.013396437041842402,40
100,30,15,0.06587030415772406,1.5734435744685211,-0.03998948673984082,0.85,0.006822486196353397,-0.01696217475878223,20
200,15,20,0.1293269645069251,1.5686022914337414,-0.1252074738967307,0.7777777777777778,0.008269650278220875,-0.018423460677479825,54
200,10,15,0.12555882506645574,1.5586377516483683,-0.10653514451838908,0.7647058823529411,0.0068872312652136355,-0.01471004342604218,68
125,30,10,0.0677840239834617,1.5407300837074518,-0.039989486739841484,0.72,0.006743559883070698,-0.007788370242774061,25
